pos,player,opp,status,stats,points,year,week,team,total_score,total_bench,record,streak,team_away,total_score_away,total_bench_away,record_away,streak_away,game_id
WR,T. Hill WR - KC,@NYG,"Loss, 9-12","68 Rec Yds, Rec TD, Fum, 16 Rush Yds, Rush TD, 2PT, ...",8.4,2017,11,Kung Suh Panda,67.16,19.9,4-7-0,L1,Goldcity,104.2,27.18,4-7-0,W1,41
TE,E. Engram TE - NYG,KC,"Win, 12-9","9 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",0.9,2017,11,Kung Suh Panda,67.16,19.9,4-7-0,L1,Goldcity,104.2,27.18,4-7-0,W1,41
W/R,K. Drake RB - MIA,TB,"Loss, 20-30","4 Rush Yds, Rush TD, Fum, 10 Rec Yds, Rec TD, 2PT, ...",1.4,2017,11,Kung Suh Panda,67.16,19.9,4-7-0,L1,Goldcity,104.2,27.18,4-7-0,W1,41
K,M. Prater K - DET,@CHI,"Win, 27-24","3 PAT, PAT Miss, 0-19, 1 20-29, 30-39, 40-49, 1 50+, Miss 0-19, Miss 20-29, Miss 30-39, Miss 40-49, Miss 50+, ...",10.0,2017,11,Kung Suh Panda,67.16,19.9,4-7-0,L1,Goldcity,104.2,27.18,4-7-0,W1,41
DEF,Cardinals DEF,@HOU,"Loss, 21-31","31 Pts, 1 Sck, 1 Int, 1 Fum, TD, Ret TD, Saf, ...",4.0,2017,11,Kung Suh Panda,67.16,19.9,4-7-0,L1,Goldcity,104.2,27.18,4-7-0,W1,41
BN,E. Sanders WR - DEN,CIN,"Loss, 17-20","15 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",1.5,2017,11,Kung Suh Panda,67.16,19.9,4-7-0,L1,Goldcity,104.2,27.18,4-7-0,W1,41
BN,D. Martin RB - TB,@MIA,"Win, 30-20","38 Rush Yds, Rush TD, Fum, 6 Rec Yds, Rec TD, 2PT, ...",4.4,2017,11,Kung Suh Panda,67.16,19.9,4-7-0,L1,Goldcity,104.2,27.18,4-7-0,W1,41
BN,M. Lee WR - JAX,@CLE,"Win, 19-7","45 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",4.5,2017,11,Kung Suh Panda,67.16,19.9,4-7-0,L1,Goldcity,104.2,27.18,4-7-0,W1,41
BN,A. Abdullah RB - DET,@CHI,"Win, 27-24","22 Rush Yds, Rush TD, Fum, 13 Rec Yds, 1 Rec TD, 2PT, ...",9.5,2017,11,Kung Suh Panda,67.16,19.9,4-7-0,L1,Goldcity,104.2,27.18,4-7-0,W1,41
BN,E. Elliott RB - DAL,PHI,"Loss, 9-37","Rush Yds, Rush TD, Fum, Rec Yds, Rec TD, 2PT, ...",0.0,2017,11,Kung Suh Panda,67.16,19.9,4-7-0,L1,Goldcity,104.2,27.18,4-7-0,W1,41
BN,R. Anderson WR - NYJ,Bye,,"Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",0.0,2017,11,Kung Suh Panda,67.16,19.9,4-7-0,L1,Goldcity,104.2,27.18,4-7-0,W1,41
QB,T. Brady QB - NE,@LV,"Win, 33-8","340 Pass Yds, 3 Pass TD, Int, Rush Yds, Rush TD, Fum, 2PT, ...",25.6,2017,11,Goldcity,104.2,27.18,4-7-0,W1,Kung Suh Panda,67.16,19.9,4-7-0,L1,41
RB,L. McCoy RB - BUF,@LAC,"Loss, 24-54","114 Rush Yds, 1 Rush TD, Fum, 12 Rec Yds, 1 Rec TD, 2PT, ...",24.6,2017,11,Goldcity,104.2,27.18,4-7-0,W1,Kung Suh Panda,67.16,19.9,4-7-0,L1,41
RB,L. Blount RB - PHI,@DAL,"Win, 37-9","57 Rush Yds, Rush TD, Fum, Rec Yds, Rec TD, 2PT, ...",5.7,2017,11,Goldcity,104.2,27.18,4-7-0,W1,Kung Suh Panda,67.16,19.9,4-7-0,L1,41
WR,M. Jones WR - DET,@CHI,"Win, 27-24","85 Rec Yds, 1 Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",14.5,2017,11,Goldcity,104.2,27.18,4-7-0,W1,Kung Suh Panda,67.16,19.9,4-7-0,L1,41
WR,M. Thomas WR - NO,WAS,"Win, 34-31","91 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",9.1,2017,11,Goldcity,104.2,27.18,4-7-0,W1,Kung Suh Panda,67.16,19.9,4-7-0,L1,41
TE,J. Cook TE - LV,NE,"Loss, 8-33","36 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",3.6,2017,11,Goldcity,104.2,27.18,4-7-0,W1,Kung Suh Panda,67.16,19.9,4-7-0,L1,41
W/R,M. Crabtree WR - LV,NE,"Loss, 8-33","51 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 1 2PT, ...",7.1,2017,11,Goldcity,104.2,27.18,4-7-0,W1,Kung Suh Panda,67.16,19.9,4-7-0,L1,41
K,B. McManus K - DEN,CIN,"Loss, 17-20","2 PAT, PAT Miss, 0-19, 20-29, 30-39, 1 40-49, 50+, Miss 0-19, Miss 20-29, Miss 30-39, Miss 40-49, 1 Miss 50+, ...",6.0,2017,11,Goldcity,104.2,27.18,4-7-0,W1,Kung Suh Panda,67.16,19.9,4-7-0,L1,41
DEF,Vikings DEF,LA,"Win, 24-7","7 Pts, 2 Sck, Int, 1 Fum, TD, Ret TD, Saf, ...",8.0,2017,11,Goldcity,104.2,27.18,4-7-0,W1,Kung Suh Panda,67.16,19.9,4-7-0,L1,41
BN,F. Gore RB - IND,Bye,,"Rush Yds, Rush TD, Fum, Rec Yds, Rec TD, 2PT, ...",0.0,2017,11,Goldcity,104.2,27.18,4-7-0,W1,Kung Suh Panda,67.16,19.9,4-7-0,L1,41
BN,D. Carr QB - LV,NE,"Loss, 8-33","237 Pass Yds, 1 Pass TD, 1 Int, Rush Yds, Rush TD, Fum, 1 2PT, ...",13.48,2017,11,Goldcity,104.2,27.18,4-7-0,W1,Kung Suh Panda,67.16,19.9,4-7-0,L1,41
BN,A. Seferian-Jenkins TE - NYJ,Bye,,"Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",0.0,2017,11,Goldcity,104.2,27.18,4-7-0,W1,Kung Suh Panda,67.16,19.9,4-7-0,L1,41
BN,C. Hyde RB - SF,Bye,,"Rush Yds, Rush TD, Fum, Rec Yds, Rec TD, 2PT, ...",0.0,2017,11,Goldcity,104.2,27.18,4-7-0,W1,Kung Suh Panda,67.16,19.9,4-7-0,L1,41
BN,J. Allen RB - BAL,@GB,"Win, 23-0","8 Rush Yds, Rush TD, Fum, 9 Rec Yds, Rec TD, 2PT, ...",1.7,2017,11,Goldcity,104.2,27.18,4-7-0,W1,Kung Suh Panda,67.16,19.9,4-7-0,L1,41
BN,Falcons DEF,@SEA,"Win, 34-31","31 Pts, 3 Sck, 1 Int, 1 Fum, 1 TD, Ret TD, Saf, ...",12.0,2017,11,Goldcity,104.2,27.18,4-7-0,W1,Kung Suh Panda,67.16,19.9,4-7-0,L1,41
QB,A. Smith QB - KC,@NYG,"Loss, 9-12","230 Pass Yds, Pass TD, 2 Int, 27 Rush Yds, Rush TD, Fum, 2PT, ...",7.9,2017,11,Rui's Crew,89.3,49.0,5-6-0,L1,Leschke-Ultras,114.02,47.0,6-5-0,W1,42
RB,T. Gurley RB - LA,@MIN,"Loss, 7-24","37 Rush Yds, 1 Rush TD, Fum, 19 Rec Yds, Rec TD, 2PT, ...",11.6,2017,11,Rui's Crew,89.3,49.0,5-6-0,L1,Leschke-Ultras,114.02,47.0,6-5-0,W1,42
RB,A. Kamara RB - NO,WAS,"Win, 34-31","42 Rush Yds, Rush TD, Fum, 74 Rec Yds, 1 Rec TD, 1 2PT, ...",19.6,2017,11,Rui's Crew,89.3,49.0,5-6-0,L1,Leschke-Ultras,114.02,47.0,6-5-0,W1,42
WR,D. Bryant WR - DAL,PHI,"Loss, 9-37","63 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",6.3,2017,11,Rui's Crew,89.3,49.0,5-6-0,L1,Leschke-Ultras,114.02,47.0,6-5-0,W1,42
WR,A. Thielen WR - MIN,LA,"Win, 24-7","123 Rec Yds, 1 Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",18.3,2017,11,Rui's Crew,89.3,49.0,5-6-0,L1,Leschke-Ultras,114.02,47.0,6-5-0,W1,42
TE,J. Graham TE - SEA,ATL,"Loss, 31-34","58 Rec Yds, 1 Rec TD, Fum, Rush Yds, Rush TD, 1 2PT, ...",13.8,2017,11,Rui's Crew,89.3,49.0,5-6-0,L1,Leschke-Ultras,114.02,47.0,6-5-0,W1,42
W/R,I. Crowell RB - CLE,JAX,"Loss, 7-19","18 Rush Yds, Rush TD, Fum, Rec Yds, Rec TD, 2PT, ...",1.8,2017,11,Rui's Crew,89.3,49.0,5-6-0,L1,Leschke-Ultras,114.02,47.0,6-5-0,W1,42
K,G. Zuerlein K - LA,@MIN,"Loss, 7-24","1 PAT, PAT Miss, 0-19, 20-29, 30-39, 40-49, 50+, Miss 0-19, Miss 20-29, Miss 30-39, Miss 40-49, Miss 50+, ...",1.0,2017,11,Rui's Crew,89.3,49.0,5-6-0,L1,Leschke-Ultras,114.02,47.0,6-5-0,W1,42
DEF,Lions DEF,@CHI,"Win, 27-24","24 Pts, 1 Sck, Int, 1 Fum, 1 TD, Ret TD, Saf, ...",9.0,2017,11,Rui's Crew,89.3,49.0,5-6-0,L1,Leschke-Ultras,114.02,47.0,6-5-0,W1,42
BN,D. Walker TE - TEN,@PIT,"Loss, 17-40","92 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",9.2,2017,11,Rui's Crew,89.3,49.0,5-6-0,L1,Leschke-Ultras,114.02,47.0,6-5-0,W1,42
BN,J. Landry WR - MIA,TB,"Loss, 20-30","95 Rec Yds, 1 Rec TD, 1 Fum, Rush Yds, Rush TD, 2PT, ...",13.5,2017,11,Rui's Crew,89.3,49.0,5-6-0,L1,Leschke-Ultras,114.02,47.0,6-5-0,W1,42
BN,T. Coleman RB - ATL,@SEA,"Win, 34-31","43 Rush Yds, 1 Rush TD, Fum, 15 Rec Yds, Rec TD, 2PT, ...",11.8,2017,11,Rui's Crew,89.3,49.0,5-6-0,L1,Leschke-Ultras,114.02,47.0,6-5-0,W1,42
BN,D. Johnson RB - ARI,@HOU,"Loss, 21-31","Rush Yds, Rush TD, Fum, Rec Yds, Rec TD, 2PT, ...",0.0,2017,11,Rui's Crew,89.3,49.0,5-6-0,L1,Leschke-Ultras,114.02,47.0,6-5-0,W1,42
BN,J. Goff QB - LA,@MIN,"Loss, 7-24","225 Pass Yds, Pass TD, Int, 8 Rush Yds, Rush TD, Fum, 2PT, ...",9.8,2017,11,Rui's Crew,89.3,49.0,5-6-0,L1,Leschke-Ultras,114.02,47.0,6-5-0,W1,42
BN,J. Smith-Schuster WR - PIT,TEN,"Win, 40-17","47 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",4.7,2017,11,Rui's Crew,89.3,49.0,5-6-0,L1,Leschke-Ultras,114.02,47.0,6-5-0,W1,42
QB,R. Wilson QB - SEA,ATL,"Loss, 31-34","258 Pass Yds, 2 Pass TD, 1 Int, 86 Rush Yds, 1 Rush TD, 1 Fum, 1 2PT, ...",30.92,2017,11,Leschke-Ultras,114.02,47.0,6-5-0,W1,Rui's Crew,89.3,49.0,5-6-0,L1,42
RB,L. Murray RB - MIN,LA,"Win, 24-7","95 Rush Yds, 2 Rush TD, Fum, 1 Rec Yds, Rec TD, 2PT, ...",21.6,2017,11,Leschke-Ultras,114.02,47.0,6-5-0,W1,Rui's Crew,89.3,49.0,5-6-0,L1,42
RB,J. Ajayi RB - PHI,@DAL,"Win, 37-9","91 Rush Yds, Rush TD, Fum, 10 Rec Yds, Rec TD, 2PT, ...",10.1,2017,11,Leschke-Ultras,114.02,47.0,6-5-0,W1,Rui's Crew,89.3,49.0,5-6-0,L1,42
WR,A. Green WR - CIN,@DEN,"Win, 20-17","50 Rec Yds, 1 Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",11.0,2017,11,Leschke-Ultras,114.02,47.0,6-5-0,W1,Rui's Crew,89.3,49.0,5-6-0,L1,42
WR,D. Baldwin WR - SEA,ATL,"Loss, 31-34","40 Rec Yds, 1 Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",10.0,2017,11,Leschke-Ultras,114.02,47.0,6-5-0,W1,Rui's Crew,89.3,49.0,5-6-0,L1,42
TE,Z. Ertz TE - PHI,@DAL,"Win, 37-9","8 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",0.8,2017,11,Leschke-Ultras,114.02,47.0,6-5-0,W1,Rui's Crew,89.3,49.0,5-6-0,L1,42
W/R,C. Anderson RB - DEN,CIN,"Loss, 17-20","37 Rush Yds, 1 Rush TD, 1 Fum, 19 Rec Yds, Rec TD, 2PT, ...",9.6,2017,11,Leschke-Ultras,114.02,47.0,6-5-0,W1,Rui's Crew,89.3,49.0,5-6-0,L1,42
K,S. Gostkowski K - NE,@LV,"Win, 33-8","3 PAT, PAT Miss, 0-19, 1 20-29, 30-39, 1 40-49, 2 50+, Miss 0-19, Miss 20-29, Miss 30-39, Miss 40-49, Miss 50+, ...",19.0,2017,11,Leschke-Ultras,114.02,47.0,6-5-0,W1,Rui's Crew,89.3,49.0,5-6-0,L1,42
DEF,Saints DEF,WAS,"Win, 34-31","31 Pts, 2 Sck, Int, Fum, TD, Ret TD, Saf, ...",1.0,2017,11,Leschke-Ultras,114.02,47.0,6-5-0,W1,Rui's Crew,89.3,49.0,5-6-0,L1,42
BN,M. Ryan QB - ATL,@SEA,"Win, 34-31","195 Pass Yds, 2 Pass TD, Int, 12 Rush Yds, Rush TD, Fum, 2PT, ...",17.0,2017,11,Leschke-Ultras,114.02,47.0,6-5-0,W1,Rui's Crew,89.3,49.0,5-6-0,L1,42
BN,G. Tate WR - DET,@CHI,"Win, 27-24","32 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",3.2,2017,11,Leschke-Ultras,114.02,47.0,6-5-0,W1,Rui's Crew,89.3,49.0,5-6-0,L1,42
BN,T. Ginn WR - NO,WAS,"Win, 34-31","87 Rec Yds, Rec TD, Fum, -12 Rush Yds, Rush TD, 2PT, ...",7.5,2017,11,Leschke-Ultras,114.02,47.0,6-5-0,W1,Rui's Crew,89.3,49.0,5-6-0,L1,42
BN,R. Matthews WR - TEN,@PIT,"Loss, 17-40","113 Rec Yds, 1 Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",17.3,2017,11,Leschke-Ultras,114.02,47.0,6-5-0,W1,Rui's Crew,89.3,49.0,5-6-0,L1,42
BN,K. Benjamin WR - BUF,@LAC,"Loss, 24-54","20 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",2.0,2017,11,Leschke-Ultras,114.02,47.0,6-5-0,W1,Rui's Crew,89.3,49.0,5-6-0,L1,42
BN,T. Rawls RB - SEA,ATL,"Loss, 31-34","Rush Yds, Rush TD, Fum, Rec Yds, Rec TD, 2PT, ...",0.0,2017,11,Leschke-Ultras,114.02,47.0,6-5-0,W1,Rui's Crew,89.3,49.0,5-6-0,L1,42
QB,M. Mariota QB - TEN,@PIT,"Loss, 17-40","306 Pass Yds, 1 Pass TD, 4 Int, 5 Rush Yds, 1 Rush TD, Fum, 2PT, ...",14.74,2017,11,Suit Up,93.94,16.4,2-9-0,L6,The Manning Faced God,105.78,20.5,7-4-0,W1,43
RB,M. Gordon RB - LAC,BUF,"Win, 54-24","80 Rush Yds, 1 Rush TD, Fum, Rec Yds, Rec TD, 2PT, ...",14.0,2017,11,Suit Up,93.94,16.4,2-9-0,L6,The Manning Faced God,105.78,20.5,7-4-0,W1,43
RB,L. Fournette RB - JAX,@CLE,"Win, 19-7","111 Rush Yds, Rush TD, Fum, 7 Rec Yds, Rec TD, 2PT, ...",11.8,2017,11,Suit Up,93.94,16.4,2-9-0,L6,The Manning Faced God,105.78,20.5,7-4-0,W1,43
WR,L. Fitzgerald WR - ARI,@HOU,"Loss, 21-31","91 Rec Yds, 1 Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",15.1,2017,11,Suit Up,93.94,16.4,2-9-0,L6,The Manning Faced God,105.78,20.5,7-4-0,W1,43
WR,M. Evans WR - TB,@MIA,"Win, 30-20","92 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",9.2,2017,11,Suit Up,93.94,16.4,2-9-0,L6,The Manning Faced God,105.78,20.5,7-4-0,W1,43
TE,C. Brate TE - TB,@MIA,"Win, 30-20","12 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",1.2,2017,11,Suit Up,93.94,16.4,2-9-0,L6,The Manning Faced God,105.78,20.5,7-4-0,W1,43
W/R,T. Cohen RB - CHI,DET,"Loss, 24-27","44 Rush Yds, 1 Rush TD, Fum, 15 Rec Yds, Rec TD, 2PT, ...",11.9,2017,11,Suit Up,93.94,16.4,2-9-0,L6,The Manning Faced God,105.78,20.5,7-4-0,W1,43
K,J. Tucker K - BAL,@GB,"Win, 23-0","2 PAT, PAT Miss, 0-19, 1 20-29, 2 30-39, 40-49, 50+, Miss 0-19, Miss 20-29, Miss 30-39, Miss 40-49, Miss 50+, ...",10.0,2017,11,Suit Up,93.94,16.4,2-9-0,L6,The Manning Faced God,105.78,20.5,7-4-0,W1,43
DEF,Chiefs DEF,@NYG,"Loss, 9-12","12 Pts, Sck, 1 Int, Fum, TD, Ret TD, Saf, ...",6.0,2017,11,Suit Up,93.94,16.4,2-9-0,L6,The Manning Faced God,105.78,20.5,7-4-0,W1,43
BN,J. Witten TE - DAL,PHI,"Loss, 9-37","7 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",0.7,2017,11,Suit Up,93.94,16.4,2-9-0,L6,The Manning Faced God,105.78,20.5,7-4-0,W1,43
BN,T. Hilton WR - IND,Bye,,"Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",0.0,2017,11,Suit Up,93.94,16.4,2-9-0,L6,The Manning Faced God,105.78,20.5,7-4-0,W1,43
BN,J. Winston QB - TB,@MIA,"Win, 30-20","Pass Yds, Pass TD, Int, Rush Yds, Rush TD, Fum, 2PT, ...",0.0,2017,11,Suit Up,93.94,16.4,2-9-0,L6,The Manning Faced God,105.78,20.5,7-4-0,W1,43
BN,N. Agholor WR - PHI,@DAL,"Win, 37-9","-2 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",-0.2,2017,11,Suit Up,93.94,16.4,2-9-0,L6,The Manning Faced God,105.78,20.5,7-4-0,W1,43
BN,A. Collins RB - BAL,@GB,"Win, 23-0","49 Rush Yds, 1 Rush TD, Fum, 22 Rec Yds, Rec TD, 2PT, ...",13.1,2017,11,Suit Up,93.94,16.4,2-9-0,L6,The Manning Faced God,105.78,20.5,7-4-0,W1,43
BN,J. Richard RB - LV,NE,"Loss, 8-33","19 Rush Yds, Rush TD, Fum, 9 Rec Yds, Rec TD, 2PT, ...",2.8,2017,11,Suit Up,93.94,16.4,2-9-0,L6,The Manning Faced God,105.78,20.5,7-4-0,W1,43
QB,K. Cousins QB - WAS,@NO,"Loss, 31-34","322 Pass Yds, 3 Pass TD, Int, 11 Rush Yds, Rush TD, Fum, 2PT, ...",25.98,2017,11,The Manning Faced God,105.78,20.5,7-4-0,W1,Suit Up,93.94,16.4,2-9-0,L6,43
RB,A. Peterson RB - ARI,@HOU,"Loss, 21-31","26 Rush Yds, Rush TD, Fum, 13 Rec Yds, Rec TD, 2PT, ...",3.9,2017,11,The Manning Faced God,105.78,20.5,7-4-0,W1,Suit Up,93.94,16.4,2-9-0,L6,43
RB,J. Mixon RB - CIN,@DEN,"Win, 20-17","49 Rush Yds, Rush TD, Fum, Rec Yds, Rec TD, 2PT, ...",4.9,2017,11,The Manning Faced God,105.78,20.5,7-4-0,W1,Suit Up,93.94,16.4,2-9-0,L6,43
WR,B. Cooks WR - NE,@LV,"Win, 33-8","149 Rec Yds, 1 Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",20.9,2017,11,The Manning Faced God,105.78,20.5,7-4-0,W1,Suit Up,93.94,16.4,2-9-0,L6,43
WR,D. Parker WR - MIA,TB,"Loss, 20-30","26 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",2.6,2017,11,The Manning Faced God,105.78,20.5,7-4-0,W1,Suit Up,93.94,16.4,2-9-0,L6,43
TE,R. Gronkowski TE - NE,@LV,"Win, 33-8","37 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",3.7,2017,11,The Manning Faced God,105.78,20.5,7-4-0,W1,Suit Up,93.94,16.4,2-9-0,L6,43
W/R,A. Cooper WR - LV,NE,"Loss, 8-33","28 Rec Yds, 1 Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",8.8,2017,11,The Manning Faced God,105.78,20.5,7-4-0,W1,Suit Up,93.94,16.4,2-9-0,L6,43
K,M. Bryant K - ATL,@SEA,"Win, 34-31","4 PAT, PAT Miss, 1 0-19, 20-29, 30-39, 1 40-49, 50+, Miss 0-19, Miss 20-29, Miss 30-39, Miss 40-49, Miss 50+, ...",9.0,2017,11,The Manning Faced God,105.78,20.5,7-4-0,W1,Suit Up,93.94,16.4,2-9-0,L6,43
DEF,Ravens DEF,@GB,"Win, 23-0","0 Pts, 6 Sck, 3 Int, 2 Fum, TD, Ret TD, Saf, ...",26.0,2017,11,The Manning Faced God,105.78,20.5,7-4-0,W1,Suit Up,93.94,16.4,2-9-0,L6,43
BN,A. Morris RB - DAL,PHI,"Loss, 9-37","91 Rush Yds, Rush TD, Fum, Rec Yds, Rec TD, 2PT, ...",9.1,2017,11,The Manning Faced God,105.78,20.5,7-4-0,W1,Suit Up,93.94,16.4,2-9-0,L6,43
BN,D. Adams WR - GB,BAL,"Loss, 0-23","126 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",12.6,2017,11,The Manning Faced God,105.78,20.5,7-4-0,W1,Suit Up,93.94,16.4,2-9-0,L6,43
BN,D. Freeman RB - ATL,@SEA,"Win, 34-31","Rush Yds, Rush TD, Fum, Rec Yds, Rec TD, 2PT, ...",0.0,2017,11,The Manning Faced God,105.78,20.5,7-4-0,W1,Suit Up,93.94,16.4,2-9-0,L6,43
BN,D. Funchess WR - CAR,Bye,,"Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",0.0,2017,11,The Manning Faced God,105.78,20.5,7-4-0,W1,Suit Up,93.94,16.4,2-9-0,L6,43
BN,D. Prescott QB - DAL,PHI,"Loss, 9-37","145 Pass Yds, Pass TD, 3 Int, 10 Rush Yds, Rush TD, 1 Fum, 2PT, ...",-1.2,2017,11,The Manning Faced God,105.78,20.5,7-4-0,W1,Suit Up,93.94,16.4,2-9-0,L6,43
BN,C. McCaffrey RB - CAR,Bye,,"Rush Yds, Rush TD, Fum, Rec Yds, Rec TD, 2PT, ...",0.0,2017,11,The Manning Faced God,105.78,20.5,7-4-0,W1,Suit Up,93.94,16.4,2-9-0,L6,43
QB,C. Newton QB - CAR,@NYJ,"Win, 35-27","168 Pass Yds, Pass TD, Int, 28 Rush Yds, 1 Rush TD, Fum, 1 2PT, ...",17.52,2017,12,Le'Veon A Prayer,122.12,38.12,10-2-0,W1,Goldcity,72.68,49.82,4-8-0,L1,44
RB,L. Bell RB - PIT,GB,"Win, 31-28","95 Rush Yds, Rush TD, 1 Fum, 88 Rec Yds, Rec TD, 2PT, ...",16.3,2017,12,Le'Veon A Prayer,122.12,38.12,10-2-0,W1,Goldcity,72.68,49.82,4-8-0,L1,44
RB,K. Hunt RB - KC,BUF,"Loss, 10-16","17 Rush Yds, Rush TD, Fum, 9 Rec Yds, Rec TD, 2PT, ...",2.6,2017,12,Le'Veon A Prayer,122.12,38.12,10-2-0,W1,Goldcity,72.68,49.82,4-8-0,L1,44
WR,J. Jones WR - ATL,TB,"Win, 34-20","253 Rec Yds, 2 Rec TD, Fum, 15 Rush Yds, Rush TD, 2PT, ...",38.8,2017,12,Le'Veon A Prayer,122.12,38.12,10-2-0,W1,Goldcity,72.68,49.82,4-8-0,L1,44
WR,K. Allen WR - LAC,@DAL,"Win, 28-6","172 Rec Yds, 1 Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",23.2,2017,12,Le'Veon A Prayer,122.12,38.12,10-2-0,W1,Goldcity,72.68,49.82,4-8-0,L1,44
TE,T. Kelce TE - KC,BUF,"Loss, 10-16","39 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",3.9,2017,12,Le'Veon A Prayer,122.12,38.12,10-2-0,W1,Goldcity,72.68,49.82,4-8-0,L1,44
W/R,D. Thomas WR - DEN,@LV,"Loss, 14-21","18 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",1.8,2017,12,Le'Veon A Prayer,122.12,38.12,10-2-0,W1,Goldcity,72.68,49.82,4-8-0,L1,44
K,K. Forbath K - MIN,@DET,"Win, 30-23","3 PAT, 1 PAT Miss, 0-19, 20-29, 1 30-39, 40-49, 50+, Miss 0-19, Miss 20-29, Miss 30-39, Miss 40-49, 1 Miss 50+, ...",5.0,2017,12,Le'Veon A Prayer,122.12,38.12,10-2-0,W1,Goldcity,72.68,49.82,4-8-0,L1,44
DEF,Eagles DEF,CHI,"Win, 31-3","3 Pts, 2 Sck, 2 Int, Fum, TD, Ret TD, Saf, ...",13.0,2017,12,Le'Veon A Prayer,122.12,38.12,10-2-0,W1,Goldcity,72.68,49.82,4-8-0,L1,44
BN,J. Nelson WR - GB,@PIT,"Loss, 28-31","11 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",1.1,2017,12,Le'Veon A Prayer,122.12,38.12,10-2-0,W1,Goldcity,72.68,49.82,4-8-0,L1,44
BN,D. Murray RB - TEN,@IND,"Win, 20-16","9 Rush Yds, 1 Rush TD, Fum, 33 Rec Yds, Rec TD, 2PT, ...",10.2,2017,12,Le'Veon A Prayer,122.12,38.12,10-2-0,W1,Goldcity,72.68,49.82,4-8-0,L1,44
BN,T. Taylor QB - BUF,@KC,"Win, 16-10","183 Pass Yds, 1 Pass TD, Int, 27 Rush Yds, Rush TD, Fum, 2PT, ...",14.02,2017,12,Le'Veon A Prayer,122.12,38.12,10-2-0,W1,Goldcity,72.68,49.82,4-8-0,L1,44
BN,S. Shepard WR - NYG,@WAS,"Loss, 10-20","Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",0.0,2017,12,Le'Veon A Prayer,122.12,38.12,10-2-0,W1,Goldcity,72.68,49.82,4-8-0,L1,44
BN,D. Henry RB - TEN,@IND,"Win, 20-16","79 Rush Yds, Rush TD, Fum, 10 Rec Yds, Rec TD, 2PT, ...",8.9,2017,12,Le'Veon A Prayer,122.12,38.12,10-2-0,W1,Goldcity,72.68,49.82,4-8-0,L1,44
BN,C. Davis WR - TEN,@IND,"Win, 20-16","39 Rec Yds, Rec TD, Fum, Rush Yds, Rush TD, 2PT, ...",3.9,2017,12,Le'Veon A Prayer,122.12,38.12,10-2-0,W1,Goldcity,72.68,49.82,4-8-0,L1,44
QB,T. Brady QB - NE,MIA,"Win, 35-17","227 Pass Yds, 4 Pass TD, 1 Int, -4 Rush Yds, Rush TD, 1 Fum, 2PT, ...",20.68,2017,12,Goldcity,72.68,49.82,4-8-0,L1,Le'Veon A Prayer,122.12,38.12,10-2-0,W1,44
